ISBN,Member ID,Title,Checkout Date,Return Date,Borrows
9783161484123,9953,Book_3,2017-12-06,2020-06-27,32
9783161484738,3958,Book_4,2009-12-06,2020-06-27,74
9783161438903,2311,Book_5,2010-12-06,2020-06-27,55
9783147284100,2948,Book_6,2019-12-06,2020-06-27,32
9783122234105,0053,Book_7,2005-12-06,2020-06-27,600
9783161484100,7493,Book_1,2019-12-06,2020-01-06,1
9783161484103,4345,Book_2,2019-12-07,2020-12-07,15
9783161484105,5832,Book_1,2020-01-09,2020-01-29,2
9783161484100,3422,Book_1,2020-01-31,2020-02-15,3
9783161484105,5632,Book_1,2020-02-17,2020-02-27,4
9783161484106,7653,Book_1,2020-02-30,2020-03-15,5
9783161484107,8999,Book_1,2020-02-30,2020-03-19,6
9783161484100,1123,Book_1,2020-03-20,2020-04-20,7
9783161484104,6644,Book_1,2020-03-22,2020-04-22,8
9783161484103,7766,Book_1,2020-03-22,2020-04-27,9
9783161484105,4543,Book_1,2020-04-28,2020-05-24,10
9783161484106,8775,Book_1,2020-04-29,2020-05-27,11
9783161484107,3345,Book_1,2020-05-01,2020-05-27,12
9783161484100,7655,Book_1,2020-05-09,2020-05-29,13
9783161484105,0097,Book_1,2020-06-10,2020-06-27,14
9783161484103,001,Book_1,2020-12-07,0,15
